title,author,year,category,subcategory,url,description
Letters from a Stoic,Seneca,65,Philosophy,Stoicism,https://www.gutenberg.org/cache/epub/69913/pg69913.txt,"Seneca's moral letters to Lucilius on Stoic philosophy"
On the Shortness of Life,Seneca,49,Philosophy,Stoicism,https://www.gutenberg.org/cache/epub/67928/pg67928.txt,"Seneca's essay on making the most of our limited time"
The Consolation of Philosophy,Boethius,524,Philosophy,Medieval,https://www.gutenberg.org/cache/epub/14328/pg14328.txt,"Written while awaiting execution, on the nature of fortune and happiness"
Leviathan,Thomas Hobbes,1651,Philosophy,Political,https://www.gutenberg.org/cache/epub/3207/pg3207.txt,"Foundational work of political philosophy on the social contract"
An Essay Concerning Human Understanding,John Locke,1689,Philosophy,Epistemology,https://www.gutenberg.org/cache/epub/10615/pg10615.txt,"Locke's theory of knowledge and the limits of human understanding"
A Treatise of Human Nature,David Hume,1739,Philosophy,Epistemology,https://www.gutenberg.org/cache/epub/4705/pg4705.txt,"Hume's foundational work on empiricism and skepticism"
The World as Will and Representation,Arthur Schopenhauer,1818,Philosophy,Pessimism,https://www.gutenberg.org/cache/epub/38427/pg38427.txt,"Schopenhauer's magnum opus on the nature of reality as Will"
The Crowd: A Study of the Popular Mind,Gustave Le Bon,1895,Psychology,Social Psychology,https://www.gutenberg.org/cache/epub/445/pg445.txt,"Foundational work on crowd psychology and mass manipulation"
The Interpretation of Dreams,Sigmund Freud,1900,Psychology,Psychoanalysis,https://www.gutenberg.org/cache/epub/40739/pg40739.txt,"Freud's groundbreaking work on dream analysis and the unconscious"
Psychology of the Unconscious,Carl Jung,1912,Psychology,Analytical Psychology,https://www.gutenberg.org/cache/epub/65903/pg65903.txt,"Jung's break from Freud, introducing the collective unconscious"
The Psychology of Peoples,Gustave Le Bon,1898,Psychology,Social Psychology,https://www.gutenberg.org/cache/epub/15063/pg15063.txt,"Le Bon's analysis of national character and psychological evolution"
Extraordinary Popular Delusions and the Madness of Crowds,Charles Mackay,1841,Psychology,Social Psychology,https://www.gutenberg.org/cache/epub/24518/pg24518.txt,"Classic study of crowd follies including financial bubbles and witch manias"
The Ego and Its Own,Max Stirner,1844,Psychology,Egoism,https://www.gutenberg.org/cache/epub/47677/pg47677.txt,"Radical individualist philosophy rejecting all higher powers"
Man and His Symbols,Carl Jung,1964,Psychology,Analytical Psychology,https://www.gutenberg.org/cache/epub/65903/pg65903.txt,"Jung's accessible introduction to his psychology of the unconscious"
Studies in Pessimism,Arthur Schopenhauer,1851,Psychology,Pessimism,https://www.gutenberg.org/cache/epub/10732/pg10732.txt,"Schopenhauer's essays on suffering, death, and the vanity of existence"
The Varieties of Religious Experience,William James,1902,Psychology,Philosophy of Religion,https://www.gutenberg.org/cache/epub/621/pg621.txt,"William James' landmark study of mystical and religious experiences"
The Book of Enoch,R.H. Charles,300,Apocrypha,Jewish Apocrypha,https://www.gutenberg.org/cache/epub/31297/pg31297.txt,"Ancient Jewish apocalyptic text attributed to the patriarch Enoch"
The Book of Jasher,Anonymous,1840,Apocrypha,Jewish Apocrypha,https://www.gutenberg.org/cache/epub/18encyclope/pg18encyclope.txt,"Alternative biblical history referenced in Joshua and 2 Samuel"
The Book of Jubilees,R.H. Charles,150,Apocrypha,Jewish Apocrypha,https://sacred-texts.com/bib/jub/index.htm,"Rewriting of Genesis and Exodus from Moses' perspective on Mount Sinai"
The Gospel of Thomas,Various,100,Apocrypha,Gnostic Texts,https://sacred-texts.com/chr/thomas.htm,"Collection of 114 sayings attributed to Jesus, discovered at Nag Hammadi"
The Gospel of Philip,Various,180,Apocrypha,Gnostic Texts,https://sacred-texts.com/gno/php/index.htm,"Gnostic text discovered at Nag Hammadi with esoteric Christian teachings"
Pistis Sophia,Various,300,Apocrypha,Gnostic Texts,https://www.gutenberg.org/cache/epub/51encyclope/pg51encyclope.txt,"Gnostic text recording conversations of Jesus with his disciples"
The Gnostic Hymn of the Pearl,Various,200,Apocrypha,Gnostic Texts,https://sacred-texts.com/gno/hoj.htm,"Allegory of the soul's descent into matter and return to the divine"
The Nag Hammadi Library Selections,Various,350,Apocrypha,Gnostic Texts,https://sacred-texts.com/gno/index.htm,"Collection of early Gnostic texts discovered in Egypt in 1945"
The Apocrypha (KJV),Various,200,Apocrypha,Biblical Apocrypha,https://www.gutenberg.org/cache/epub/89/pg89.txt,"Deuterocanonical books excluded from Protestant Bibles"
The Forgotten Books of Eden,Rutherford Platt,1926,Apocrypha,Biblical Apocrypha,https://sacred-texts.com/bib/fbe/index.htm,"Collection of Old Testament pseudepigrapha and apocryphal writings"
The Lost Books of the Bible,William Hone,1926,Apocrypha,Biblical Apocrypha,https://sacred-texts.com/bib/lbob/index.htm,"Collection of texts excluded from the biblical canon"
Tetrabiblos,Claudius Ptolemy,150,Astrology / Divination,Astrology,https://www.gutenberg.org/cache/epub/70850/pg70850.txt,"The foundational text of Western astrology by the great astronomer"
The I Ching (Book of Changes),Various / James Legge,1000,Astrology / Divination,Divination,https://www.gutenberg.org/cache/epub/339/pg339.txt,"Ancient Chinese divination text and philosophical classic"
Transcendental Magic,Eliphas Levi,1856,Astrology / Divination,Tarot,https://www.gutenberg.org/cache/epub/55116/pg55116.txt,"Connects Tarot to Kabbalah and ceremonial magic"
The Pictorial Key to the Tarot,Arthur Edward Waite,1911,Astrology / Divination,Tarot,https://www.gutenberg.org/cache/epub/43836/pg43836.txt,"Waite's guide to the Rider-Waite Tarot deck and its symbolism"
The Book of Five Rings,Miyamoto Musashi,1645,Eastern Wisdom,Japanese Strategy,https://www.gutenberg.org/cache/epub/62119/pg62119.txt,"Classic text on kenjutsu and martial arts strategy"
Hagakure: The Book of the Samurai,Yamamoto Tsunetomo,1716,Eastern Wisdom,Bushido,https://www.gutenberg.org/cache/epub/58672/pg58672.txt,"The Way of the Samurai - hidden leaves on the path of the warrior"
Bushido: The Soul of Japan,Inazo Nitobe,1900,Eastern Wisdom,Bushido,https://www.gutenberg.org/cache/epub/12096/pg12096.txt,"Exposition of the moral code of the samurai for Western audiences"
The Sayings of Lao Tzu,Lao Tzu / Lionel Giles,500,Eastern Wisdom,Taoism,https://www.gutenberg.org/cache/epub/3072/pg3072.txt,"Alternative translation of the foundational Taoist text"
The Works of Mencius,Mencius / James Legge,300,Eastern Wisdom,Confucianism,https://www.gutenberg.org/cache/epub/3330/pg3330.txt,"Major Confucian text on human nature and political philosophy"
Chuang Tzu,Zhuangzi / James Legge,300,Eastern Wisdom,Taoism,https://www.gutenberg.org/cache/epub/42317/pg42317.txt,"Foundational text of philosophical Taoism with profound parables"
The Yoga Sutras of Patanjali,Patanjali / Charles Johnston,200,Eastern Wisdom,Yoga,https://www.gutenberg.org/cache/epub/2526/pg2526.txt,"The definitive guide to Raja Yoga and meditation"
The Tibetan Book of the Dead,W.Y. Evans-Wentz,1927,Eastern Wisdom,Tibetan Buddhism,https://sacred-texts.com/bud/tib/index.htm,"Guide for consciousness between death and rebirth"
Morals and Dogma,Albert Pike,1871,Secret Societies,Freemasonry,https://sacred-texts.com/mas/md/index.htm,"Comprehensive exposition of Masonic philosophy and symbolism"
The Meaning of Masonry,W.L. Wilmshurst,1927,Secret Societies,Freemasonry,https://sacred-texts.com/mas/mom/index.htm,"Esoteric interpretation of Masonic ritual and symbolism"
The Secret Teachings of All Ages,Manly P. Hall,1928,Secret Societies,Esoteric Encyclopedia,https://sacred-texts.com/eso/sta/index.htm,"Encyclopedic outline of Masonic, Hermetic, Qabbalistic and Rosicrucian philosophy"
Proofs of a Conspiracy,John Robison,1798,Secret Societies,Conspiracy,https://www.gutenberg.org/cache/epub/47605/pg47605.txt,"Exposé of Illuminati infiltration of Freemasonry"
Fama Fraternitatis,Anonymous,1614,Secret Societies,Rosicrucianism,https://sacred-texts.com/sro/rhr/rhr06.htm,"The founding manifesto of the Rosicrucian Brotherhood"
Confessio Fraternitatis,Anonymous,1615,Secret Societies,Rosicrucianism,https://sacred-texts.com/sro/rhr/rhr07.htm,"The second Rosicrucian manifesto declaring the Brotherhood's mission"
The Chemical Wedding of Christian Rosenkreutz,Johann Valentin Andreae,1616,Secret Societies,Rosicrucianism,https://sacred-texts.com/sro/rhr/rhr08.htm,"Alchemical allegory of spiritual transformation through seven days"
The Real History of the Rosicrucians,Arthur Edward Waite,1887,Secret Societies,Rosicrucianism,https://www.gutenberg.org/cache/epub/21948/pg21948.txt,"Scholarly examination of the Rosicrucian movement and its documents"
The Aurora,Jacob Boehme,1612,Alchemy / Mysticism,Christian Mysticism,https://sacred-texts.com/eso/sat/index.htm,"Boehme's first mystical work on the nature of God and creation"
The Signature of All Things,Jacob Boehme,1622,Alchemy / Mysticism,Christian Mysticism,https://sacred-texts.com/eso/sat/index.htm,"Boehme on how the external world reveals the inner spiritual world"
The Alchemy of Happiness,Al-Ghazali,1105,Alchemy / Mysticism,Islamic Mysticism,https://www.gutenberg.org/cache/epub/29encyclope/pg29encyclope.txt,"Sufi classic on achieving happiness through knowledge of God"
The Cloud of Unknowing,Anonymous,1375,Alchemy / Mysticism,Christian Mysticism,https://www.gutenberg.org/cache/epub/22557/pg22557.txt,"Medieval guide to contemplative prayer and mystical union with God"
Ars Magna,Ramon Llull,1305,Alchemy / Mysticism,Alchemy,https://sacred-texts.com/alc/index.htm,"Llull's combinatory art for discovering truth through logical methods"
The Turba Philosophorum,Various,900,Alchemy / Mysticism,Alchemy,https://sacred-texts.com/alc/turba.htm,"Assembly of the Sages - alchemical dialogue on the Great Work"
The Book of Lambspring,Anonymous,1625,Alchemy / Mysticism,Alchemy,https://sacred-texts.com/alc/lambspri.htm,"Alchemical treatise using animal symbolism for the stages of the Great Work"
The Golden Tractate of Hermes,Hermes Trismegistus,800,Alchemy / Mysticism,Alchemy,https://sacred-texts.com/alc/goldtrac.htm,"Attributed to Hermes, on the creation of the Philosopher's Stone"
Theatrum Chemicum Britannicum,Elias Ashmole,1652,Alchemy / Mysticism,Alchemy,https://sacred-texts.com/alc/index.htm,"Collection of English alchemical poetry and treatises"
Paradise Lost,John Milton,1667,Forbidden / Controversial,Banned Literature,https://www.gutenberg.org/cache/epub/20/pg20.txt,"Epic poem on the fall of Satan and the loss of Eden"
The Age of Reason,Thomas Paine,1794,Forbidden / Controversial,Banned Literature,https://www.gutenberg.org/cache/epub/3743/pg3743.txt,"Deist critique of organized religion and biblical authority"
Common Sense,Thomas Paine,1776,Forbidden / Controversial,Revolutionary,https://www.gutenberg.org/cache/epub/147/pg147.txt,"The pamphlet that sparked the American Revolution"
Areopagitica,John Milton,1644,Forbidden / Controversial,Free Speech,https://www.gutenberg.org/cache/epub/608/pg608.txt,"Milton's passionate defense of freedom of the press"
The Rights of Man,Thomas Paine,1791,Forbidden / Controversial,Revolutionary,https://www.gutenberg.org/cache/epub/3742/pg3742.txt,"Defense of the French Revolution and natural rights"
On Liberty,John Stuart Mill,1859,Forbidden / Controversial,Political Philosophy,https://www.gutenberg.org/cache/epub/34901/pg34901.txt,"Classic defense of individual freedom against tyranny of the majority"
The Communist Manifesto,Karl Marx and Friedrich Engels,1848,Forbidden / Controversial,Political Philosophy,https://www.gutenberg.org/cache/epub/61/pg61.txt,"The foundational text of communist political theory"
Candide,Voltaire,1759,Forbidden / Controversial,Banned Literature,https://www.gutenberg.org/cache/epub/19942/pg19942.txt,"Satirical novella attacking optimism and religious hypocrisy"
The Social Contract,Jean-Jacques Rousseau,1762,Forbidden / Controversial,Political Philosophy,https://www.gutenberg.org/cache/epub/46333/pg46333.txt,"Foundational text of modern political and social thought"
Utopia,Thomas More,1516,Forbidden / Controversial,Political Philosophy,https://www.gutenberg.org/cache/epub/2130/pg2130.txt,"Description of an ideal society on an imaginary island"
The City of God,Augustine of Hippo,426,Philosophy,Theology,https://www.gutenberg.org/cache/epub/45304/pg45304.txt,"Augustine's monumental work on the relationship between church and state"
Summa Theologica (Selections),Thomas Aquinas,1274,Philosophy,Theology,https://www.gutenberg.org/cache/epub/17611/pg17611.txt,"Aquinas' systematic exposition of theology and philosophy"
The Imitation of Christ,Thomas a Kempis,1418,Alchemy / Mysticism,Christian Mysticism,https://www.gutenberg.org/cache/epub/1653/pg1653.txt,"Most widely read Christian devotional work after the Bible"
The Dark Night of the Soul,St. John of the Cross,1585,Alchemy / Mysticism,Christian Mysticism,https://www.gutenberg.org/cache/epub/21400/pg21400.txt,"Mystical poem and commentary on the soul's journey to divine union"
The Interior Castle,St. Teresa of Avila,1577,Alchemy / Mysticism,Christian Mysticism,https://www.gutenberg.org/cache/epub/14753/pg14753.txt,"Teresa's masterwork on the seven stages of spiritual development"
The Practice of the Presence of God,Brother Lawrence,1692,Alchemy / Mysticism,Christian Mysticism,https://www.gutenberg.org/cache/epub/5657/pg5657.txt,"Simple guide to living in constant awareness of God's presence"
Sefer Yetzirah (Book of Formation),Anonymous,200,Hermetic / Occult,Kabbalah,https://sacred-texts.com/jud/yetzirah.htm,"The earliest extant book on Jewish mysticism and cosmology"
The Zohar (Selections),Moses de Leon,1290,Hermetic / Occult,Kabbalah,https://sacred-texts.com/jud/zdm/index.htm,"Central work of Jewish Kabbalah - mystical commentary on the Torah"
The Kabbalah Unveiled,S.L. MacGregor Mathers,1887,Hermetic / Occult,Kabbalah,https://www.gutenberg.org/cache/epub/55384/pg55384.txt,"Mathers' translation of key sections of the Zohar"
An Introduction to the Study of the Kabalah,William Wynn Westcott,1910,Hermetic / Occult,Kabbalah,https://sacred-texts.com/jud/isdk/index.htm,"Accessible introduction to Kabbalistic philosophy by a Golden Dawn founder"
The Prophecies of Nostradamus,Michel de Nostredame,1555,Astrology / Divination,Prophecy,https://www.gutenberg.org/cache/epub/14765/pg14765.txt,"Cryptic quatrains allegedly predicting future events"
The Key of Solomon the King,S.L. MacGregor Mathers,1889,Hermetic / Occult,Ceremonial Magic,https://sacred-texts.com/grim/kos/index.htm,"The most famous of all grimoires on ceremonial magic"
The Lesser Key of Solomon (Goetia),S.L. MacGregor Mathers,1904,Hermetic / Occult,Ceremonial Magic,https://sacred-texts.com/grim/lks/index.htm,"Catalog of 72 demons and instructions for their evocation"
The Sixth and Seventh Books of Moses,Anonymous,1849,Hermetic / Occult,Ceremonial Magic,https://sacred-texts.com/grim/moses6/index.htm,"Grimoire of seals, conjurations, and magical formulas attributed to Moses"
The Sacred Magic of the Angels,Anonymous,1500,Hermetic / Occult,Ceremonial Magic,https://sacred-texts.com/grim/index.htm,"Collection of angelic invocations and celestial magic"
The Egyptian Book of the Dead,E.A. Wallis Budge,1895,Sacred Texts,Ancient Egyptian,https://www.gutenberg.org/cache/epub/7145/pg7145.txt,"Ancient Egyptian funerary text guiding the soul through the afterlife"
The Hymns of Orpheus,Thomas Taylor,1792,Sacred Texts,Ancient Greek,https://sacred-texts.com/cla/hoo/index.htm,"Mystical hymns attributed to the legendary poet Orpheus"
The Golden Verses of Pythagoras,Pythagoras / Fabre d'Olivet,500,Philosophy,Ancient Greek,https://sacred-texts.com/cla/gvp/index.htm,"Ethical precepts attributed to Pythagoras and his school"
The Enneads (Selections),Plotinus,270,Philosophy,Neoplatonism,https://www.gutenberg.org/cache/epub/63encyclope/pg63encyclope.txt,"Foundational text of Neoplatonism on the One, Intellect, and Soul"
De Rerum Natura (On the Nature of Things),Lucretius,55,Philosophy,Epicureanism,https://www.gutenberg.org/cache/epub/785/pg785.txt,"Epicurean poem on atomism, the nature of the soul, and the cosmos"
The Golden Ass,Apuleius,170,Alchemy / Mysticism,Mystery Religions,https://www.gutenberg.org/cache/epub/1666/pg1666.txt,"Roman novel culminating in initiation into the mysteries of Isis"
The Rosicrucian Cosmo-Conception,Max Heindel,1909,Secret Societies,Rosicrucianism,https://www.gutenberg.org/cache/epub/22417/pg22417.txt,"Comprehensive exposition of Western esoteric cosmology"
The Protocols of the Learned Elders of Zion (Debunked),Victor Marsden,1905,Forbidden / Controversial,Conspiracy,https://www.gutenberg.org/cache/epub/73185/pg73185.txt,"Infamous anti-Semitic forgery - included as historical document with debunking"
Anacalypsis Vol 1,Godfrey Higgins,1836,Hermetic / Occult,Comparative Religion,https://sacred-texts.com/eso/ana/index.htm,"Massive work tracing common origins of all religious systems"
The Book of the Law,Aleister Crowley,1904,Hermetic / Occult,Thelema,https://sacred-texts.com/oto/engccxx.htm,"Central sacred text of Thelema received by Crowley in Cairo"
Magick in Theory and Practice,Aleister Crowley,1929,Hermetic / Occult,Thelema,https://sacred-texts.com/oto/aba/aba.htm,"Crowley's practical manual of ceremonial magic"
777 and Other Qabalistic Writings,Aleister Crowley,1909,Hermetic / Occult,Thelema,https://sacred-texts.com/oto/777.htm,"System of correspondences between Qabalah, Tarot, and other symbol systems"
Liber AL vel Legis,Aleister Crowley,1904,Hermetic / Occult,Thelema,https://sacred-texts.com/oto/engccxx.htm,"Do what thou wilt shall be the whole of the Law"
The Chaldean Oracles,Julian the Theurgist,170,Hermetic / Occult,Ancient Mystery,https://sacred-texts.com/cla/index.htm,"Fragment collection of Neoplatonic theurgy and cosmology"
The Popol Vuh,Anonymous,1554,Sacred Texts,Mesoamerican,https://www.gutenberg.org/cache/epub/18212/pg18212.txt,"Creation narrative and mythology of the K'iche' Maya people"
The Shahnameh (Book of Kings),Ferdowsi,1010,Sacred Texts,Persian,https://www.gutenberg.org/cache/epub/2339/pg2339.txt,"Epic poem of Persian mythological and historical kings"
The Epic of Gilgamesh,Various / R. Campbell Thompson,2100,Sacred Texts,Mesopotamian,https://www.gutenberg.org/cache/epub/11000/pg11000.txt,"The oldest great work of literature - an epic from ancient Sumer"
The Mahabharata,Vyasa / Kisari Mohan Ganguli,400,Sacred Texts,Hinduism,https://www.gutenberg.org/cache/epub/15474/pg15474.txt,"The great Indian epic containing the Bhagavad Gita"
The Ramayana,Valmiki / Ralph T.H. Griffith,500,Sacred Texts,Hinduism,https://www.gutenberg.org/cache/epub/24869/pg24869.txt,"Epic tale of Prince Rama's journey and the rescue of Sita"
The Rubaiyat of Omar Khayyam,Omar Khayyam / Edward FitzGerald,1120,Eastern Wisdom,Sufi Poetry,https://www.gutenberg.org/cache/epub/246/pg246.txt,"Mystical Persian poetry on wine, love, and the transience of life"
The Masnavi,Rumi / E.H. Whinfield,1273,Eastern Wisdom,Sufi Poetry,https://www.gutenberg.org/cache/epub/5339/pg5339.txt,"Rumi's greatest work of Sufi spiritual poetry"
The Conference of the Birds,Farid ud-Din Attar,1177,Eastern Wisdom,Sufi Poetry,https://sacred-texts.com/isl/index.htm,"Sufi allegory of birds seeking their king - a journey of spiritual awakening"
The Muqaddimah,Ibn Khaldun,1377,Philosophy,Islamic Philosophy,https://www.gutenberg.org/cache/epub/45667/pg45667.txt,"Foundational work of historiography and social science"
Flatland,Edwin Abbott Abbott,1884,Forbidden / Controversial,Mathematical Philosophy,https://www.gutenberg.org/cache/epub/201/pg201.txt,"Satirical novella exploring dimensions and perception of reality"
The War of the Worlds,H.G. Wells,1898,Forbidden / Controversial,Science Fiction,https://www.gutenberg.org/cache/epub/36/pg36.txt,"Influential novel of alien invasion that caused real-world panic"
Frankenstein,Mary Shelley,1818,Forbidden / Controversial,Gothic,https://www.gutenberg.org/cache/epub/84/pg84.txt,"The first science fiction novel - on the dangers of playing God"
The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1886,Forbidden / Controversial,Gothic,https://www.gutenberg.org/cache/epub/43/pg43.txt,"Exploration of the duality of human nature and the shadow self"
